black_pop,asian_pop,white_pop,hisp_pop,amin_pop,hp_pop,other_pop
23,15,37,33,0,0,0
23,15,37,33,0,0,0
23,14,37,33,0,0,0
23,15,37,33,0,0,0
23,15,36,31,0,0,0
23,15,36,32,0,0,0
23,15,36,32,0,0,0
23,16,37,32,0,0,0
23,16,36,32,0,0,0
22,16,37,32,0,0,0
22,14,36,31,0,0,0
22,15,36,32,0,0,0
23,15,36,32,0,0,0
22,16,36,31,0,0,0
22,15,36,31,0,0,0
22,15,35,31,0,0,0
22,14,35,32,0,0,0
22,14,35,31,0,0,0
22,14,35,31,0,0,0
22,14,37,31,0,0,0
22,14,36,31,0,0,0
23,14,36,31,0,0,0
23,15,36,32,0,0,0
23,15,37,32,0,0,0
23,14,36,32,0,0,0
22,15,36,32,0,0,0
22,16,36,31,0,0,0
22,16,36,31,0,0,0
22,14,37,32,0,0,0
22,14,37,32,0,0,0
22,14,36,32,0,0,0
22,15,36,32,0,0,0
23,15,36,32,0,0,0
23,15,37,32,0,0,0
23,15,35,32,0,0,0
23,15,36,31,0,0,0
23,15,36,31,0,0,0
23,15,36,32,0,0,0
23,15,36,32,0,0,0
23,15,36,32,0,0,0
23,15,36,32,0,0,0
23,15,36,33,0,0,0
23,15,36,32,0,0,0
23,15,36,32,0,0,0
23,15,36,32,0,0,0
23,15,36,32,0,0,0
23,16,36,32,0,0,0
23,16,36,32,0,0,0
23,16,36,33,0,0,0
23,16,36,33,0,0,0
24,16,36,33,0,0,0
23,16,36,33,0,0,0
23,16,36,32,0,0,0
23,16,35,32,0,0,0
23,16,35,32,0,0,0
23,16,35,32,0,0,0
23,16,35,32,0,0,0
23,16,35,32,0,0,0
23,16,35,32,0,0,0
23,15,35,32,0,0,0
23,16,35,32,0,0,0
23,16,35,32,0,0,0
23,16,36,32,0,0,0
23,16,36,31,0,0,0
23,16,36,32,0,0,0
23,16,36,31,0,0,0
23,17,36,32,0,0,0
23,16,36,33,0,0,0
23,17,36,31,0,0,0
23,17,36,32,0,0,0
23,17,36,33,0,0,0
23,17,36,32,0,0,0
24,17,36,32,0,0,0
24,17,35,32,0,0,0
24,17,35,32,0,0,0
23,17,36,32,0,0,0
23,16,35,31,0,0,0
23,16,36,31,0,0,0
23,16,36,31,0,0,0
23,16,36,31,0,0,0
23,17,36,31,0,0,0
23,17,35,31,0,0,0
23,17,35,31,0,0,0
23,17,36,31,0,0,0
23,17,36,31,0,0,0
23,17,35,31,0,0,0
23,17,35,31,0,0,0
23,16,36,31,0,0,0
23,16,36,31,0,0,0
23,16,36,31,0,0,0
23,16,36,31,0,0,0
23,16,36,30,0,0,0
23,16,36,30,0,0,0
23,16,36,30,0,0,0
23,16,36,30,0,0,0
23,16,36,31,0,0,0
23,16,35,31,0,0,0
23,16,35,31,0,0,0
23,16,36,31,0,0,0
23,16,35,31,0,0,0
23,16,35,31,0,0,0
23,16,35,31,0,0,0
23,16,35,31,0,0,0
23,16,35,31,0,0,0
23,16,35,31,0,0,0
23,16,35,31,0,0,0
23,16,35,32,0,0,0
23,16,35,32,0,0,0
23,16,36,32,0,0,0
24,16,36,32,0,0,0
24,16,36,32,0,0,0
24,16,36,33,0,0,0
24,16,37,34,0,0,0
24,16,37,34,0,0,0
24,16,37,33,0,0,0
24,16,37,32,0,0,0
24,16,37,32,0,0,0
24,16,37,32,0,0,0
24,16,36,33,0,0,0
24,16,36,32,0,0,0
24,16,37,33,0,0,0
24,16,37,33,0,0,0
24,16,37,33,0,0,0
24,16,37,32,0,0,0
24,16,37,33,0,0,0
24,16,37,33,0,0,0
24,16,37,32,0,0,0
24,16,37,31,0,0,0
24,16,37,31,0,0,0
24,16,37,32,0,0,0
24,16,37,33,0,0,0
24,16,37,33,0,0,0
24,16,37,33,0,0,0
24,16,37,33,0,0,0
24,16,37,32,0,0,0
